,bar_count,battery_level,bench_count,bike_score,bus_count,captive,city,clds,code,elevation,housing_units,id,land_area_in_sqmi,latitude,longitude,nest_id,park_count,parking_count,point,pop_density,population,precip,radius_in_miles,states,supermarket_count_1000m,temp,timestamp,uv_index,walk_score,water_area_in_sqmi,weekday,wspd,zip_code
10205,0,93,0,78,1,False,DC,OVC,,75.3638916015625,18985.0,59371476-5a7b-4162-ae58-38c5a20377c8,2.34,38.886028333333336,-77.10166166666666,,21,3,"(38.886028333333336, -77.10166166666666)",14311.0,33476.0,,1.0,DC,3,18,2019-03-25 10:44:51.809996,2,94,0.0,0,7.0,22201
10206,0,98,0,86,1,False,DC,OVC,,78.66940307617188,18985.0,59e030f5-d5df-483c-b85e-3d2839b8b4b4,2.34,38.88281333333335,-77.101005,40c4165c-541f-472c-8358-45bd95406c24,20,2,"(38.88281333333335, -77.101005)",14311.0,33476.0,,1.0,DC,5,18,2019-03-25 10:44:51.809996,2,92,0.0,0,7.0,22201
10207,0,100,0,86,1,False,DC,OVC,,78.0400619506836,18985.0,97630d91-ad86-4562-860a-0cafb188f233,2.34,38.882595,-77.10150166666669,376ec14b-6624-4181-bfb8-27f4243de8b6,20,1,"(38.882595, -77.10150166666669)",14311.0,33476.0,,1.0,DC,5,18,2019-03-25 10:44:51.809996,2,92,0.0,0,7.0,22201
10208,0,76,0,82,0,False,DC,OVC,,8.034517288208008,15278.0,f226dbb1-cca7-4e3e-880d-bbff7382218a,3.87,38.844013333333336,-77.05039166666667,,8,0,"(38.844013333333336, -77.05039166666667)",5824.0,22543.0,,2.0,DC,2,18,2019-03-25 10:44:51.809996,2,79,0.09,0,7.0,22202
10209,0,98,0,82,0,False,DC,OVC,,7.923891067504883,15278.0,299b5d51-9ebd-4854-a3de-5ff1c8969e6f,3.87,38.844043333333346,-77.05058333333334,3e1b858a-3f93-4277-8138-b7c77b2ac2c0,9,0,"(38.844043333333346, -77.05058333333334)",5824.0,22543.0,,2.0,DC,2,18,2019-03-25 10:44:51.809996,2,79,0.09,0,7.0,22202
10210,0,44,0,79,0,False,DC,OVC,,78.5177993774414,11729.0,a9f9a90a-d50a-4850-9bb7-5804202ed2da,6.45,38.89415333333333,-77.10411833333333,,10,0,"(38.89415333333333, -77.10411833333333)",4794.0,30920.0,,3.0,DC,4,18,2019-03-25 10:44:51.809996,2,76,0.0,0,7.0,22207
10211,0,61,0,90,1,False,DC,OVC,,83.53184509277344,18985.0,dca79a63-7d91-42fd-aef5-11a1f4688adc,2.34,38.88030666666667,-77.10157,,20,0,"(38.88030666666667, -77.10157)",14311.0,33476.0,,1.0,DC,5,18,2019-03-25 10:44:51.809996,2,86,0.0,0,7.0,22201
10212,0,47,0,87,1,False,DC,OVC,,77.99481201171875,18985.0,21e79178-e7b5-458e-a6d3-7a137275c5cb,2.34,38.88276333333333,-77.10302666666666,,19,1,"(38.88276333333333, -77.10302666666666)",14311.0,33476.0,,1.0,DC,4,18,2019-03-25 10:44:51.809996,2,94,0.0,0,7.0,22201
10213,0,56,0,87,1,False,DC,OVC,,77.97277069091797,18985.0,a43ff95d-d622-40c4-8559-1d28ada39c08,2.34,38.882775,-77.10307333333334,,19,1,"(38.882775, -77.10307333333334)",14311.0,33476.0,,1.0,DC,4,18,2019-03-25 10:44:51.809996,2,94,0.0,0,7.0,22201
10214,0,28,0,87,1,False,DC,OVC,,77.38868713378906,12018.0,b6abb86f-d37f-49ac-9e72-0937086e546e,1.53,38.883155,-77.10333333333331,,19,0,"(38.883155, -77.10333333333331)",14241.0,21850.0,,2.0,DC,3,18,2019-03-25 10:44:51.809996,2,94,0.0,0,7.0,22203
10215,0,53,0,84,1,False,DC,OVC,,78.16216278076172,18985.0,906cdd26-c395-4c48-9a7a-e04b5bab2754,2.34,38.88510166666666,-77.10395833333334,,19,1,"(38.88510166666666, -77.10395833333334)",14311.0,33476.0,,1.0,DC,3,18,2019-03-25 10:44:51.809996,2,91,0.0,0,7.0,22201
10216,0,70,0,84,1,False,DC,OVC,,78.4921646118164,18985.0,e99b9a15-ec5f-4281-a835-d5df32daad65,2.34,38.88520000000001,-77.10405666666666,,18,1,"(38.88520000000001, -77.10405666666666)",14311.0,33476.0,,1.0,DC,3,18,2019-03-25 10:44:51.809996,2,91,0.0,0,7.0,22201
10217,0,87,0,97,1,False,Indianapolis,OVC,,216.8530426025391,3033.0,54be691f-195b-452f-bd7e-6612a0061be6,1.12,39.76912333333333,-86.15930999999998,,9,3,"(39.76912333333333, -86.15930999999998)",4570.0,5125.0,,1.0,IN,1,7,2019-03-25 10:44:52.218079,2,94,0.01,0,26.0,46204
10218,0,87,0,97,1,False,Indianapolis,OVC,,216.6676940917969,3033.0,6d0bb73e-0781-43ff-80ad-e1d950f166ee,1.12,39.76915666666665,-86.15952333333334,,9,3,"(39.76915666666665, -86.15952333333334)",4570.0,5125.0,,1.0,IN,1,7,2019-03-25 10:44:52.218079,2,94,0.01,0,26.0,46204
10219,0,84,0,97,1,False,Indianapolis,OVC,,216.8257904052734,3033.0,cfb04199-3aab-4910-8650-23a40d617b0e,1.12,39.76711333333333,-86.15875166666667,,7,2,"(39.76711333333333, -86.15875166666667)",4570.0,5125.0,,1.0,IN,1,7,2019-03-25 10:44:52.218079,2,92,0.01,0,26.0,46204
10220,0,89,0,97,1,False,Indianapolis,OVC,,216.7381591796875,3033.0,7858ab26-bf10-49c2-876a-d12e0116963b,1.12,39.76967666666667,-86.16008833333332,,10,3,"(39.76967666666667, -86.16008833333332)",4570.0,5125.0,,1.0,IN,1,7,2019-03-25 10:44:52.218079,2,94,0.01,0,26.0,46204
10221,0,36,0,97,1,False,Indianapolis,OVC,,216.9852294921875,3033.0,5e888e19-59f7-4729-b568-a55551084964,1.12,39.76703333333333,-86.158355,,7,3,"(39.76703333333333, -86.158355)",4570.0,5125.0,,1.0,IN,1,7,2019-03-25 10:44:52.218079,2,92,0.01,0,26.0,46204
